id,observed_on,quality_grade,latitude,longitude,taxon_id,taxon_name,common_name,iconic_taxon,rank,place_guess,observer,num_id_agreements,url
117384906,2022-05-14,research,44.8580980987,-93.6123065731,39771,Chrysemys picta,Painted Turtle,Reptilia,species,"Chanhassen, MN, USA",ariellopezpics,2,https://www.inaturalist.org/observations/117384906
117387691,2022-05-16,research,44.9187087516,-93.3513770062,73801,Plestiodon septentrionalis,Prairie Skink,Reptilia,species,"Minnesota, US",carissab,2,https://www.inaturalist.org/observations/117387691
117389160,2022-05-14,research,44.47843,-93.1407166667,28557,Storeria occipitomaculata,Red-bellied Snake,Reptilia,species,"Northfield, MN, US",averybl,4,https://www.inaturalist.org/observations/117389160
117389275,2022-05-13,research,43.8760966667,-92.261955,28362,Thamnophis sirtalis,Common Garter Snake,Reptilia,species,"Richard J. Dorer Memorial Hardwood State Forest, Chatfield, MN, US",averybl,3,https://www.inaturalist.org/observations/117389275
117390551,2022-05-16,research,44.6838242494,-93.2670383463,39773,Chrysemys picta bellii,Western Painted Turtle,Reptilia,subspecies,"Lakeville, MN, USA",gonodactylus,2,https://www.inaturalist.org/observations/117390551
117394097,2022-05-16,research,45.5439376146,-93.7450418041,60347,Pituophis catenifer sayi,Bullsnake,Reptilia,subspecies,"Minnesota, US",superladiva,8,https://www.inaturalist.org/observations/117394097
117398385,2022-05-16,research,47.5091465015,-95.5448826933,28362,Thamnophis sirtalis,Common Garter Snake,Reptilia,species,"350th St, Bagley, MN, US",maypop80,2,https://www.inaturalist.org/observations/117398385
117462215,2022-05-17,research,45.3229571835,-93.2416077905,60347,Pituophis catenifer sayi,Bullsnake,Reptilia,subspecies,"Minnesota, US",shereelear,6,https://www.inaturalist.org/observations/117462215
117490164,2022-05-17,research,44.7717866667,-93.18898,39771,Chrysemys picta,Painted Turtle,Reptilia,species,"Apple Valley, MN, US",matthewt6416,2,https://www.inaturalist.org/observations/117490164
117494835,2022-05-17,research,47.2543116667,-95.2319633333,73801,Plestiodon septentrionalis,Prairie Skink,Reptilia,species,"Shevlin, MN, US",jjmckay,3,https://www.inaturalist.org/observations/117494835
117494970,2022-05-17,research,47.2542686854,-95.2319581435,73801,Plestiodon septentrionalis,Prairie Skink,Reptilia,species,"Shevlin, MN, US",joewhittaker,2,https://www.inaturalist.org/observations/117494970
117503863,2022-05-17,research,44.8696767574,-93.2358501833,39771,Chrysemys picta,Painted Turtle,Reptilia,species,"Minnesota, US",monicarauchwarter,2,https://www.inaturalist.org/observations/117503863
117511501,2022-05-15,research,44.9418066667,-93.255535,39771,Chrysemys picta,Painted Turtle,Reptilia,species,"Powderhorn Park, Minneapolis, MN 55407, USA",liren,1,https://www.inaturalist.org/observations/117511501
117513548,2022-05-17,research,44.6845720098,-93.2669107615,39773,Chrysemys picta bellii,Western Painted Turtle,Reptilia,subspecies,"Ixonia Ave, Lakeville, MN, US",matthewt6416,3,https://www.inaturalist.org/observations/117513548
117533033,2022-05-16,research,44.6918896525,-95.3688414617,39771,Chrysemys picta,Painted Turtle,Reptilia,species,"Swedes Forest SNA, Yellow Medicine County, MN, USA",mmmiller,3,https://www.inaturalist.org/observations/117533033
117574197,2022-05-17,research,44.9749872448,-93.3174999768,39771,Chrysemys picta,Painted Turtle,Reptilia,species,"Bryn-Mawr, Minneapolis, MN, US",sj_bencriscutto_amado,2,https://www.inaturalist.org/observations/117574197
117590545,2022-05-17,research,47.9529133333,-91.74502,39682,Chelydra serpentina,Common Snapping Turtle,Reptilia,species,"Superior National Forest, Ely, MN, US",rjprange,2,https://www.inaturalist.org/observations/117590545
117595200,2022-05-18,research,45.067557978,-93.7376290996,28362,Thamnophis sirtalis,Common Garter Snake,Reptilia,species,"Minnesota, US",carissab,3,https://www.inaturalist.org/observations/117595200
117596389,2022-05-18,research,45.0082002625,-93.6705613501,28362,Thamnophis sirtalis,Common Garter Snake,Reptilia,species,"Minnesota, US",carissab,2,https://www.inaturalist.org/observations/117596389
117600892,2022-05-18,research,45.0015752383,-93.7506642023,60347,Pituophis catenifer sayi,Bullsnake,Reptilia,subspecies,"Minnesota, US",nayte99,4,https://www.inaturalist.org/observations/117600892
117603582,2022-05-14,research,44.182005,-93.7934633333,39773,Chrysemys picta bellii,Western Painted Turtle,Reptilia,subspecies,"Bray Park & Campground, Madison Lake, MN, US",ekoppel,3,https://www.inaturalist.org/observations/117603582
117606354,2022-05-17,research,45.4317439111,-93.7080426835,60347,Pituophis catenifer sayi,Bullsnake,Reptilia,subspecies,"Minnesota, US",finlander13,5,https://www.inaturalist.org/observations/117606354
